GPO_MAT,GPO_GPO,GPO_CAT,GPO_NUM,GPO_LHR,GPO_AUL
79,A,26,1,0,0
57,A,24,1,0,0
80,A,25,1,0,0
1,A,40,1,0,0
81,A,18,1,0,0
30,A,15,1,0,0
79,B,26,2,0,0
57,B,24,2,0,0
80,B,25,2,0,0
1,B,40,2,0,0
81,B,41,2,0,0
30,B,31,2,0,0
88,C,27,3,0,0
89,C,23,3,0,0
90,C,44,3,0,0
91,C,21,3,0,0
92,C,22,3,0,0
93,C,40,3,0,0
82,D,24,4,0,0
83,D,27,4,0,0
84,D,23,4,0,0
85,D,20,4,0,0
86,D,21,4,0,0
16,D,22,4,0,0
77,E,26,5,0,0
94,E,24,5,0,0
95,E,27,5,0,0
96,E,23,5,0,0
97,E,25,5,0,0
98,E,20,5,0,0
99,E,22,5,0,0
77,F,26,6,0,0
94,F,27,6,0,0
95,F,23,6,0,0
96,F,44,6,0,0
97,F,25,6,0,0
98,F,20,6,0,0
99,F,22,6,0,0
27,G,12,7,0,0
28,G,12,7,0,0
29,G,16,7,0,0
30,G,15,7,0,0
31,G,13,7,0,0
32,G,21,7,0,0
33,G,45,7,0,0
27,H,12,8,0,0
28,H,12,8,0,0
29,H,16,8,0,0
30,H,15,8,0,0
31,H,13,8,0,0
32,H,44,8,0,0
33,H,40,8,0,0
34,I,12,9,0,0
35,I,13,9,0,0
36,I,19,9,0,0
37,I,17,9,0,0
38,I,45,9,0,0
39,I,18,9,0,0
40,J,14,10,0,0
16,J,45,10,0,0
41,J,17,10,0,0
42,J,19,10,0,0
43,J,19,10,0,0
44,J,13,10,0,0
45,K,45,11,0,0
46,K,14,11,0,0
47,K,19,11,0,0
48,K,13,11,0,0
50,K,18,11,0,0
49,K,13,11,0,0
1,L,8,12,0,0
2,L,6,12,0,0
3,L,5,12,0,0
4,L,2,12,0,0
5,L,3,12,0,0
6,L,11,12,0,0
1,M,8,13,0,0
2,M,6,13,0,0
3,M,9,13,0,0
4,M,2,13,0,0
5,M,3,13,0,0
6,M,11,13,0,0
7,N,10,14,0,0
8,N,3,14,0,0
9,N,6,14,0,0
10,N,7,14,0,0
11,N,2,14,0,0
12,N,5,14,0,0
13,N,46,14,0,0
7,O,10,15,0,0
8,O,3,15,0,0
9,O,6,15,0,0
10,O,4,15,0,0
11,O,1,15,0,0
12,O,5,15,0,0
13,O,45,15,0,0
14,P,4,16,0,0
15,P,7,16,0,0
16,P,10,16,0,0
17,P,5,16,0,0
18,P,34,16,0,0
19,P,8,16,0,0
20,P,8,16,0,0
21,Q,11,17,0,0
22,Q,46,17,0,0
23,Q,10,17,0,0
24,Q,4,17,0,0
25,Q,2,17,0,0
26,Q,7,17,0,0
21,R,7,18,0,0
22,R,46,18,0,0
23,R,11,18,0,0
24,R,4,18,0,0
25,R,2,18,0,0
26,R,1,18,0,0
51,S,43,19,0,0
52,S,9,19,0,0
2,S,30,19,0,0
53,S,28,19,0,0
54,S,32,19,0,0
55,S,36,19,0,0
56,S,38,19,0,0
52,T,18,20,0,0
54,T,32,20,0,0
56,T,38,20,0,0
53,T,39,20,0,0
55,T,36,20,0,0
2,T,31,20,0,0
53,U,35,21,0,0
54,U,32,21,0,0
55,U,36,21,0,0
52,U,41,21,0,0
56,U,34,21,0,0
2,U,30,21,0,0
57,V,43,22,0,0
58,V,31,22,0,0
59,V,42,22,0,0
60,V,38,22,0,0
61,V,39,22,0,0
62,V,30,22,0,0
63,V,28,22,0,0
64,V,34,22,0,0
65,W,33,23,0,0
63,W,35,23,0,0
64,W,34,23,0,0
59,W,42,23,0,0
60,W,38,23,0,0
58,W,31,23,0,0
61,W,39,23,0,0
62,W,36,23,0,0
66,X,29,24,0,0
16,X,17,24,0,0
52,X,42,24,0,0
67,X,9,24,0,0
68,X,33,24,0,0
69,X,37,24,0,0
70,X,35,24,0,0
16,Y,41,25,0,0
67,Y,9,25,0,0
66,Y,33,25,0,0
70,Y,35,25,0,0
68,Y,29,25,0,0
69,Y,37,25,0,0
52,Y,42,25,0,0
71,Z,14,26,0,0
72,Z,28,26,0,0
73,Z,29,26,0,0
74,Z,33,26,0,0
75,Z,37,26,0,0
76,Z,30,26,0,0
77,a,16,27,0,0
73,a,29,27,0,0
74,a,32,27,0,0
72,a,31,27,0,0
75,a,28,27,0,0
76,a,37,27,0,0
78,a,43,27,0,0
100,b,41,28,0,0
1,b,17,28,0,0
101,b,20,28,0,0
102,b,18,28,0,0
30,b,15,28,0,0
103,b,44,28,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
