LIS_CTR,LIS_MAT,LIS_GPO
1820197,73,A
1820043,73,A
1820064,73,A
1820044,73,A
1820038,73,A
1820093,73,A
1820052,73,A
1820042,73,A
1820061,73,A
1820046,73,A
1820171,73,A
1820155,73,A
1820055,73,A
1820013,73,A
1820049,73,A
1820050,73,A
1820045,73,A
1820041,73,A
1820165,73,A
1820051,73,A
1720113,73,A
1820039,73,A
1820066,73,A
1820054,73,A
1820029,73,A
1820048,73,A
1820197,74,A
1820043,74,A
1820064,74,A
1820044,74,A
1820038,74,A
1820093,74,A
1820052,74,A
1820042,74,A
1820061,74,A
1820046,74,A
1820155,74,A
1820055,74,A
1820013,74,A
1820049,74,A
1820050,74,A
1820045,74,A
1720191,74,A
1820041,74,A
1820165,74,A
1820051,74,A
1720113,74,A
1820039,74,A
1820066,74,A
1820054,74,A
1820029,74,A
1820048,74,A
1820197,75,A
1820043,75,A
1820044,75,A
1820038,75,A
1820093,75,A
1820052,75,A
1820042,75,A
1820061,75,A
1820046,75,A
1820155,75,A
1820055,75,A
1820013,75,A
1820049,75,A
1820050,75,A
1820045,75,A
1820041,75,A
1820165,75,A
1820051,75,A
1820039,75,A
1820066,75,A
1820054,75,A
1820029,75,A
1820048,75,A
1820197,76,A
1820043,76,A
1820064,76,A
1820044,76,A
1820038,76,A
1820093,76,A
1820052,76,A
1820042,76,A
1820061,76,A
1820046,76,A
1820155,76,A
1820055,76,A
1820013,76,A
1820049,76,A
1820050,76,A
1820045,76,A
1820041,76,A
1820165,76,A
1820051,76,A
1820039,76,A
1820066,76,A
1820054,76,A
1820029,76,A
1720130,76,A
1820048,76,A
1820197,53,A
1820043,53,A
1820064,53,A
1820044,53,A
1820038,53,A
1820093,53,A
1820052,53,A
1820042,53,A
1820061,53,A
1820046,53,A
1820155,53,A
1820055,53,A
1820049,53,A
1820050,53,A
1820045,53,A
1820041,53,A
1820165,53,A
1820051,53,A
1820039,53,A
1820066,53,A
1820054,53,A
1820029,53,A
1820218,53,A
1720130,53,A
1820048,53,A
1820197,77,A
1820043,77,A
1820064,77,A
1820044,77,A
1820038,77,A
1820093,77,A
1820052,77,A
1820042,77,A
1720159,77,A
1820061,77,A
1820046,77,A
1820155,77,A
1820055,77,A
1820013,77,A
1820049,77,A
1820050,77,A
1820045,77,A
1820041,77,A
1820165,77,A
1820051,77,A
1820039,77,A
1820066,77,A
1820054,77,A
1820029,77,A
1720130,77,A
1820048,77,A
1820202,73,B
1820088,73,B
1820180,73,B
1820078,73,B
1820069,73,B
1820215,73,B
1820065,73,B
1820040,73,B
1820223,73,B
1820063,73,B
1820081,73,B
1820157,73,B
1820095,73,B
1820056,73,B
1820012,73,B
1820192,73,B
1820085,73,B
1820067,73,B
1820068,73,B
1820010,73,B
1820083,73,B
1820059,73,B
1820070,73,B
1820186,73,B
1820185,73,B
1820036,73,B
1820185,73,B
1820036,73,B
1820202,74,B
1820088,74,B
1820180,74,B
1820078,74,B
1820069,74,B
1820215,74,B
1820065,74,B
1820171,74,B
1820040,74,B
1820223,74,B
1820063,74,B
1820081,74,B
1820157,74,B
1820095,74,B
1820056,74,B
1720178,74,B
1820012,74,B
1820192,74,B
1820085,74,B
1820067,74,B
1820068,74,B
1820010,74,B
1820083,74,B
1820059,74,B
1820070,74,B
1820186,74,B
1820185,74,B
1820036,74,B
1820202,75,B
1820088,75,B
1820180,75,B
1820078,75,B
1820069,75,B
1820065,75,B
1820171,75,B
1820040,75,B
1820223,75,B
1820063,75,B
1820081,75,B
1820157,75,B
1820095,75,B
1820056,75,B
1720194,75,B
1820012,75,B
1820192,75,B
1820085,75,B
1820067,75,B
1820068,75,B
1820010,75,B
1820083,75,B
1820059,75,B
1820070,75,B
1820186,75,B
1820185,75,B
1820036,75,B
1820202,76,B
1820088,76,B
1820180,76,B
1820078,76,B
1820069,76,B
1820215,76,B
1820065,76,B
1820171,76,B
1820040,76,B
1820223,76,B
1820063,76,B
1820081,76,B
1820157,76,B
1820095,76,B
1820056,76,B
1720178,76,B
1820012,76,B
1820192,76,B
1820085,76,B
1820067,76,B
1820068,76,B
1820010,76,B
1820083,76,B
1820059,76,B
1820070,76,B
1820186,76,B
1820185,76,B
1820036,76,B
1820202,53,B
1820088,53,B
1820180,53,B
1820078,53,B
1820069,53,B
1820215,53,B
1820065,53,B
1820171,53,B
1820040,53,B
1820223,53,B
1820063,53,B
1820081,53,B
1820157,53,B
1820095,53,B
1820056,53,B
1820012,53,B
1820192,53,B
1820085,53,B
1820067,53,B
1820068,53,B
1820010,53,B
1820083,53,B
1820059,53,B
1820070,53,B
1820186,53,B
1820185,53,B
1820036,53,B
1820202,77,B
1820088,77,B
1820180,77,B
1820078,77,B
1820069,77,B
1820215,77,B
1820065,77,B
1820171,77,B
1820040,77,B
1820223,77,B
1820063,77,B
1820081,77,B
1820157,77,B
1820095,77,B
1820056,77,B
1720194,77,B
1820012,77,B
1820192,77,B
1820085,77,B
1820067,77,B
1820068,77,B
1820010,77,B
1820083,77,B
1820059,77,B
1520175,77,B
1820070,77,B
1820186,77,B
1820185,77,B
1820036,77,B
1820134,73,C
1820106,73,C
1820086,73,C
1820053,73,C
1820062,73,C
1820047,73,C
1820073,73,C
1720121,73,C
1820071,73,C
1820092,73,C
1720178,73,C
1820211,73,C
1820133,73,C
1820074,73,C
1820015,73,C
1820094,73,C
1820077,73,C
1820168,73,C
1820079,73,C
1820217,73,C
1820087,73,C
1820159,73,C
1820076,73,C
1820057,73,C
1820190,73,C
1820058,73,C
1820089,73,C
1820075,73,C
1820089,73,C
1820075,73,C
1820134,74,C
1820106,74,C
1820086,74,C
1820053,74,C
1820062,74,C
1820047,74,C
1820073,74,C
1720121,74,C
