LIS_CTR,LIS_MAT,LIS_GPO
1820147,3,R
1820112,3,R
1820194,3,R
1820143,3,R
1820108,3,R
1820109,3,R
1820177,3,R
1820107,3,R
1820098,3,R
1820105,3,R
1820175,3,R
1820146,3,R
1820179,3,R
1820101,3,R
1820153,3,R
1820162,3,R
1820104,3,R
1820103,3,R
1820114,3,R
1820207,3,R
1820110,3,R
1820193,3,R
1820191,3,R
1820176,3,R
1820125,3,R
1820163,3,R
1820111,3,R
1820100,3,R
1820164,3,R
1820102,3,R
1720226,3,R
1820169,3,R
1820137,3,R
1820139,3,R
1820147,5,R
1820112,5,R
1820194,5,R
1820143,5,R
1820108,5,R
1820109,5,R
1820177,5,R
1820107,5,R
1820098,5,R
1820105,5,R
1820175,5,R
1820146,5,R
1820179,5,R
1820101,5,R
1820153,5,R
1820162,5,R
1820104,5,R
1820103,5,R
1820114,5,R
1820207,5,R
1820110,5,R
1820193,5,R
1820191,5,R
1820176,5,R
1820125,5,R
1820163,5,R
1820111,5,R
1820100,5,R
1820164,5,R
1820102,5,R
1820169,5,R
1820137,5,R
1820139,5,R
1820147,4,R
1820112,4,R
1820194,4,R
1820143,4,R
1820108,4,R
1820109,4,R
1820177,4,R
1820107,4,R
1820098,4,R
1820105,4,R
1820175,4,R
1820146,4,R
1820179,4,R
1820101,4,R
1820153,4,R
1820162,4,R
1820104,4,R
1820103,4,R
1820114,4,R
1820207,4,R
1820110,4,R
1820193,4,R
1820191,4,R
1820176,4,R
1820125,4,R
1820163,4,R
1820111,4,R
1820100,4,R
1820164,4,R
1820102,4,R
1820169,4,R
1820137,4,R
1820139,4,R
1820147,2,R
1820112,2,R
1820194,2,R
1820143,2,R
1820108,2,R
1820109,2,R
1820177,2,R
1820107,2,R
1820098,2,R
1820105,2,R
1820175,2,R
1820146,2,R
1820179,2,R
1820101,2,R
1820153,2,R
1820162,2,R
1820104,2,R
1820103,2,R
1820114,2,R
1820207,2,R
1820110,2,R
1820193,2,R
1820191,2,R
1820176,2,R
1820125,2,R
1820163,2,R
1820111,2,R
1820100,2,R
1820164,2,R
1820102,2,R
1820169,2,R
1820137,2,R
1820139,2,R
1820147,6,R
1820112,6,R
1820194,6,R
1820143,6,R
1820108,6,R
1820109,6,R
1820177,6,R
1820107,6,R
1820098,6,R
1820105,6,R
1820175,6,R
1820146,6,R
1820179,6,R
1820101,6,R
1820153,6,R
1820162,6,R
1820104,6,R
1820103,6,R
1820114,6,R
1820207,6,R
1820110,6,R
1820193,6,R
1820191,6,R
1820176,6,R
1820125,6,R
